projectid,name,status_indicator,percent_complete,project_duration_days,days_elapsed,labor_etcsum,labor_eacsum,labor_basesum,teamcount,taskcount
5115119,Infrastructure Deployment Template,1,0,34,34,2822400,2822400,2822400,4,7
5117163,ProjectTemplate,0,0,364,111,3222400,3222400,3222400,6,11
5117220,Playbook Project,0,0,364,123,3622400,3622400,3622400,7,15
5117121,Basic WBS Test Project,0,0,365,123,3622600,3622600,3622600,5,25
5117218,Accessible Project,0,0,890,567,4022600,4022600,4022600,6,7
5117127,67000_sub3,0,0,365,258,4223100,4223100,4223100,7,10
5117131,75745_project,0,0,365,147,4312123,4312123,4312123,7,15
5117219,Inaccessible Project,0,0,365,32,4512006,4512006,4512006,8,25
5117130,67000_master,0,0,365,15,4789246,4789246,4789246,9,7
5124134,PRJ_TSK_TC1_1749697014345,0,0,365,7,4123467,4123467,4123467,2,10
5117122,SubDev EWBS,0,0,365,79,3.88E+06,1.33E+07,1.33E+07,3,7
5117123,Dev EWBS,0,0,364,23,2.35E+06,1.31E+07,1.31E+07,4,7
5117167,Test Project Base,0,0,365,48,4223100,4223100,4223100,4,25
5117126,KJO Enhanced WBS,0,0,789,251,4312123,4312123,4312123,6,32
5117129,67000_sub1,0,0,365,111,4512006,4512006,4512006,7,7
5121131,PRJ_TSK_TC1_1749674280241,0,0,365,7,4789246,4789246,4789246,5,11
5116244,4G Upgrade Readiness,1,0.117483,678,108,4147200,4147200,4147200,6,15
5117128,67000_sub2,0,0,365,123,4312123,4312123,4312123,7,25
5122151,PRJ_TSK_TC1_1749679926069,0,0,365,7,4512006,4512006,4512006,7,7
5116220,HR Claims Processing Enhancement,1,0.01,365,18,5760000,5760000,5760000,8,10
5117132,Test BaseLine 1,0,0,365,108,4223100,4223100,4223100,9,7
5117133,Test BaseLine 2,0,0,365,123,4312123,4312123,4312123,2,11
5117134,Test BaseLine 3,0,0,365,7,4512006,4512006,4512006,3,15
5117135,Test BaseLine 4,0,0,365,18,4789246,4789246,4789246,4,25
5120130,PRJ_TSK_TC1_1749664027993,0,0,365,7,4147200,4147200,4147200,2,7
5117136,Test BaseLine 5,0,0,365,108,4312123,4312123,4312123,7,10
5117137,Test BaseLine 6,0,0,365,123,4512006,4512006,4512006,8,13
5117139,Test BaseLine 8,0,0,365,7,5760000,5760000,5760000,9,20
5117140,Test BaseLine 9,0,0,365,18,4223100,4223100,4223100,2,25
5117141,Test BaseLine 10,0,0,365,108,4312123,4312123,4312123,3,15
5117143,Test BaseLine 12,0,0,365,123,4512006,4512006,4512006,4,13
5117147,Test BaseLine 16,0,0,365,7,4789246,4789246,4789246,3,20
5117144,Test BaseLine 13,0,0,365,18,4147200,4147200,4147200,5,25
5117145,Test BaseLine 14,0,0,365,108,4312123,4312123,4312123,8,15
5126136,PRJ_TSK_TC1_1749831010702,0,0,365,123,4512006,4512006,4512006,9,13
5117150,Test BaseLine 19,0,0,365,7,5760000,5760000,5760000,3,20
5116207,Client Services Datamart,2,1,365,18,4752000,4752000,4752000,7,25
5117151,Test BaseLine 20,0,0,365,108,4147200,4147200,4147200,6,15
5117153,Test BaseLine 22,0,0,365,123,4312123,4312123,4312123,5,13
5117156,CLRT-72732,0,0,70,7,4512006,4512006,4512006,8,20
5117152,Test BaseLine 21,0,0,365,18,5760000,5760000,5760000,3,7
5126149,Complex_Test_Project,1,0.07455,373,108,363600,615600,615600,7,11
5122132,PRJ_TSK_TC1_1749679699170,0,0,10,123,4312123,4312123,4312123,6,15
5117157,CLRT-74964 Sub1,0,0,365,7,4312123,662400,662400,5,25
5117124,Eng EWBS,0,0,365,18,4789246,4789246,4789246,8,7
5117158,CLRT-74964 Sub2,0,0,30,108,662400,662400,662400,3,10
5117125,Tech Pubs EWBS,0,0,1178,123,6912000,6912000,6912000,7,6
5115120,Application COTS Template,1,0.02,39,7,1180800,1180800,1180800,6,15
5116198,Development Template (MSP),1,0.01,96,18,4147200,4147200,4147200,5,25
5126151,Complex_Test_Master,1,0.394089,373,7,2354996,2354996,2354996,8,6
5116211,CRM Contact Center Development,1,0.02,145,18,8640000,8640000,8640000,5,22
5116209,Credit Card Processing Enhancement,1,0.01,27,108,2880000,2880000,2880000,5,13
5116213,Data Warehouse Performance Tuning,1,0.394089,135,123,6912000,6912000,6912000,7,26
5116210,Credit Card Security Improvements,1,0.01,114,7,5760000,5760000,5760000,7,25
5116205,Change Mgt for Internal Portal,1,0.02,109,18,5760000,5760000,5760000,7,25
5116202,eCommerce Portal,1,0.01,224,108,8121600,8121600,8121600,11,31
5116201,Online Order Performance Improvements,2,100,113,123,5760000,5760000,5760000,8,25
5116203,Automated Security Enhancements,1,0.01,107,7,5760000,5760000,5760000,8,25
5116206,Change Mgt for Online Order Entry,1,0.02,18,18,201600,201600,201600,9,8
5116214,eBusiness Mobile Network,1,0.01,352,167,1.50E+07,1.50E+07,1.50E+07,6,25
5116215,Email SAN Storage Implementation,1,0.01,114,18,3600000,3600000,3600000,5,25
5115122,Major Project Template,1,0.02,113,49,5760000,5760000,5760000,7,25
5116234,Online Order Entry,3,1,211,18,6984000,6984000,6984000,4,16
5116217,Financial Process Audit,1,0.01,114,18,5760000,5760000,5760000,7,25
5116225,Mobile Commerce,1,0.02,111,7,5760000,5760000,5760000,7,25
5116219,Global HR Application Maintenance,2,1,365,18,264960,264960,264960,8,6
5117159,CLRT-74964 Master,0,0,365,108,662400,662400,662400,8,4
5117162,CLRT-69109,0,0,365,123,201600,201600,201600,9,4
5116233,Online Order Catalog,2,1,365,7,5724000,5724000,5724000,6,9
5116216,Executive Dashboard Visibility,1,0.02,123,18,5760000,5760000,5760000,5,25
5116235,Online to Offline Market,2,1,105,108,4147200,4147200,4147200,7,25
5116238,PCI Controls Remediation,2,1,120,123,4176000,4176000,4176000,4,25
5116228,Mobile Security,1,0.01,40,7,2822400,2822400,2822400,7,7
5116237,Order Trending Analysis,1,0.02,113,18,5760000,5760000,5760000,7,25
5116223,Meeting Reservation Portal,1,0.01,547,7,1.95E+07,1.95E+07,1.95E+07,6,25
5116226,Mobile Device Management (MDM) Deployment,1,0.02,363,18,1.50E+07,1.50E+07,1.50E+07,6,25
5116230,Mobility Management Services,1,0.01,190,108,7905600,7905600,7905600,6,25
5116199,Development Template (Workbench),1,0.02,96,123,4147200,4147200,4147200,6,25
5116221,HR Online Benefits Security Upgrade,1,0.01,243,7,5904000,5904000,5904000,7,25
5126150,Another_Complex_Proj,1,0.3125,63,18,79200,115200,115200,3,6
5116239,Security Compliance,2,1,30,108,7992000,7992000,7992000,5,8
5116232,Office Upgrade,1,0.02,364,123,1.50E+07,1.50E+07,1.50E+07,6,25
5116241,System Upgrade Release 14,1,0.01,362,7,1.50E+07,1.50E+07,1.50E+07,6,25
5116242,Web Application Enhancement,1,0.02,546,18,5184000,5184000,5184000,8,25
5116243,XPL Translations,1,0.01,546,108,9.26E+07,9.26E+07,9.26E+07,10,26
5117164,CLRT-72390,0,0,364,123,1267200,1267200,1267200,8,7
5125135,PRJ_TSK_TC1_1749738956203,0,0,362,7,5184000,5184000,5184000,8,11
5117138,Test BaseLine 7,0,0,546,18,4176000,4176000,4176000,9,15
5117165,CLRT-69679,0,0,546,7,8208000,8208000,8208000,6,25
5123133,PRJ_TSK_TC1_1749682493968,0,0,364,18,201600,201600,201600,5,7
5117160,CLRT-72529 Template,0,0,362,108,5724000,5724000,5724000,7,10
5117166,CLRT-73875,0,0,546,123,4176000,4176000,4176000,4,7
5117171,CLRT66564Project,1,0.02,243,7,7516800,7516800,7516800,7,11
5117170,project72712,1,0.01,243,18,201600,201600,201600,7,15
5117168,project_74872,1,0.02,243,108,5724000,5724000,5724000,8,25
5117169,CLRT-72831-Prog,1,0.01,243,123,4147200,4147200,4147200,8,7
5120168,PRJ_TSK_TC1_1749666701957,1,0.02,243,7,201600,201600,201600,9,10
5117173,CLRT-69161,1,0.01,243,18,3974400,3974400,3974400,6,6
5120149,PRJ_TSK_TC1_1749665285119,1,0.02,362,108,201600,201600,201600,5,25
5117172,project_74688,1,0.01,546,123,5724000,5724000,5724000,7,26
5117142,Test BaseLine 11,0,0,243,7,4176000,4176000,4176000,4,7
5117174,test project 1,0,0,243,18,7516800,7516800,7516800,7,11
5117207,CLRT--8992-Program,0,0,243,7,201600,201600,201600,7,15
5117146,Test BaseLine 15,0,0,243,18,79200,79200,79200,8,25
5118129,PRJ_TSK_TC1_1749661458707,0,0,243,108,1.50E+07,1.50E+07,1.50E+07,8,25
5117176,CLRT--8992,0,0,243,123,1.51E+07,1.51E+07,1.51E+07,9,25
5117177,CLRT-72093-Sub-Sub1,0,0,362,7,132480,132480,132480,6,6
5117180,CLRT-72093-Master,0,0,546,18,115200,115200,115200,5,8
5117148,Test BaseLine 17,0,0,243,108,662400,662400,662400,7,25
5117149,Test BaseLine 18,1,0.02,243,123,86400,86400,86400,4,25
5118148,PRJ_TSK_TC1_1749661721953,1,0.01,243,7,144000,144000,144000,7,25
5117154,Test BaseLine 23,1,0.02,243,18,288000,288000,288000,7,25
5117155,Test BaseLine 24,1,0.01,243,108,86400,86400,86400,8,25
5117181,CLRT-74438,1,0.02,243,123,5068800,5068800,5068800,8,6
5117182,CLRT-69852,1,0.01,362,7,453600,453600,453600,9,8
5118167,PRJ_TSK_TC1_1749662278312,1,0.02,546,18,86400,86400,86400,6,25
5117187,project_74979,1,0.01,243,7,132480,132480,132480,5,25
5117195,clrt_72991_proj,0,0,365,18,115200,115200,115200,7,7
5117191,project_74975,0,0,365,108,662400,662400,662400,4,10
5117193,CLRT_73866_AProj,1,0.02,243,123,86400,86400,86400,7,7
5117196,Example A,1,0.01,365,7,144000,144000,144000,7,11
5117197,Example B,1,0.02,243,18,288000,288000,288000,7,15
5117161,CLRT-72529-Project,1,0.01,362,108,453600,453600,453600,8,25
5117198,Example C,1,0.02,546,123,288000,288000,288000,8,7
5117199,Example D,1,0.01,365,7,288000,288000,288000,9,10
5117200,Example E,1,0.02,477,18,230400,230400,230400,6,6
5117201,Example F,1,0.01,243,108,288000,288000,288000,5,25
5117202,CLRT-74579Template,0,0,468,123,7545600,7545600,7545600,7,26
5117208,CLRT-66161,0,0,243,7,7574400,7574400,7574400,4,7
5117178,CLRT-72093-Sub1,0,0,365,18,86400,86400,86400,7,10
5117179,CLRT-72093-Sub2,1,0.02,365,7,144000,144000,144000,7,7
5117204,p_template,1,0.01,364,18,288000,288000,288000,8,11
5117209,Test Estimate Project,1,0.02,468,108,5662800,5662800,5662800,8,15
5117175,CLRT_74665_Proj,1,0.01,243,123,86400,86400,86400,9,25
5117183,CLRT-72778,1,0.02,365,7,453600,453600,453600,6,7
5117211,Playbook Project 1,1,0.01,365,18,1.70E+07,1.70E+07,1.70E+07,5,10
5117184,proj_75233,1,0.02,364,108,453600,453600,453600,7,6
5117188,68071-Sub-A,1,0.01,468,123,86400,86400,86400,8,25
5117192,75093Project,0,0,243,123,132480,132480,132480,8,26
5117185,CLRT-67374,0,0,365,7,115200,115200,115200,9,7
5117186,TaskIndentAfterMove,0,0,365,18,662400,662400,662400,6,10
5117189,68071-Master,0,0,364,108,86400,86400,86400,5,7
5117190,CLRT-68071-Prog,0,0,468,123,144000,144000,144000,7,11
5117194,CLRT_73866_BProj,0,0,243,7,132480,132480,132480,4,15
5119123,TEST_73911,0,0,365,18,115200,115200,115200,7,25
5117210,AssnRole_Project1,0,0,365,7,662400,662400,662400,7,7
5116224,Mobile Advertising,2,1,364,18,1.53E+07,1.53E+07,1.53E+07,8,10
5115121,Application Change Template,1,0.02,468,108,316800,316800,316800,8,6
5116200,Online Web Portal Program,1,0.01,243,123,662400,662400,662400,9,25
5116212,CRM Enhancements,1,0.02,365,7,8208001,8208001,8208001,6,26
5116236,Order Management Release 2,1,0.01,365,18,4284000,4284000,4284000,5,13
5116229,Mobile Time and Approvals,1,0.02,364,108,1.61E+07,1.61E+07,1.61E+07,7,25
5116208,Compliance Audit - Security,1,0.01,468,123,453600,453600,453600,8,12
5116222,Learning Portal Optimization,1,0.02,243,7,5760000,5760000,5760000,7,25
5116231,MyLearning Mobile Pilot,1,0.01,365,18,7905600,7905600,7905600,6,25
5116218,Financial Workflow Development,1,0.02,365,108,4147200,4147200,4147200,9,13
5116204,BYOD Management,1,0.01,364,123,7905600,7905600,7905600,6,25
5116227,Mobile Identity Management Enhancements,1,0.02,468,7,4147200,4147200,4147200,6,25
5116240,Social Networking Security Upgrade,1,0.01,243,18,4147200,4147200,4147200,6,25
